订单号,动作,起始经度,起始纬度,取单号,商家经度,商家纬度,商家距离,理论取单时间,取单可取时间,取单承诺送达时间,送单号,客户经度,客户纬度,客户距离,理论送单时间,送单可取时间,送单承诺送达时间,骑手ID,波次,当前已取单数,骑手等级,骑手速度,最大负荷量,日期
2100076470301099770,PICKUP,121.521817,39.206101000000004,2100076471646848007,121.525601,39.201368,469.0,1583467934,1583467615,1583469229,2100076471829235570,121.526634,39.203171000000005,770.0,1583467990,1583467682,1583468494,10012191,0,3,3,5.365290572167933,9,20200306
2100076485205755385,DELIVERY,121.53014099999999,39.201457,0,0.0,0.0,0.0,0,0,0,2100076484725442041,121.523444,39.208711,714.0,1583474701,1583472761,1583474861,10012191,2,4,3,5.365290572167933,9,20200306
2100076497153164746,DELIVERY,121.528783,39.288767,2100076498334451131,121.54813700000001,39.289908000000004,1185.0,1583480652,1583481187,1583482386,2100076498007295434,121.55059399999999,39.289711,1339.0,1583480678,1583479878,1583481497,10012508,2,1,3,6.077413104991647,10,20200306
2100076531849823675,PICKUP,121.52393500000001,39.297292999999996,2100076532432504632,121.549801,39.290279,542.0,1583497715,1583498242,1583498841,2100076531849823675,121.529904,39.287221,2317.0,1583498007,1583497760,1583499379,10012508,6,1,3,6.077413104991647,10,20200306
2100076462024688789,PICKUP,121.44649799999999,39.206096,0,0.0,0.0,0.0,0,0,0,2100076459466786584,121.451884,39.217310999999995,1474.0,1583465652,1583464983,1583466303,10021791,0,5,3,5.6645788773315084,10,20200306
2100076500873938217,PICKUP,121.444956,39.208984,2100076503880566319,121.45223200000001,39.209955,940.0,1583483844,1583484297,1583485675,2100076500873938217,121.45241399999999,39.217690999999995,1753.0,1583483988,1583485654,1583487213,10021791,4,2,3,5.6645788773315084,10,20200306
2100076449917962207,DELIVERY,121.50975700000001,39.163671,2100076450598913452,121.52404399999999,39.145474,1624.0,1583461011,1583461204,1583462943,2100076449238582520,121.518004,39.145221,1271.0,1583460944,1583458912,1583461800,10037225,0,1,2,5.322883043836879,10,20200306
2100076453610457079,DELIVERY,121.357032,39.289857,2100076453987911671,121.362149,39.291649,1924.0,1583463208,1583463611,1583465230,0,0.0,0.0,0.0,0,0,0,10038649,0,0,2,5.298512528730499,10,20200306
2100076482121270793,PICKUP,121.372759,39.270933,2100076483956147217,121.37495,39.303616999999996,26.0,1583470551,1583471326,1583473426,2100076482121270793,121.37514399999999,39.307511,1014.0,1583470738,1583470769,1583471844,10038649,2,1,2,5.298512528730499,10,20200306
2100076464973416347,PICKUP,121.423953,39.246169,2100076467254265755,121.42048999999999,39.253781,1.0,1583466958,1583465983,1583468083,2100076463632286767,121.396754,39.262001,3205.0,1583467600,1583466189,1583468048,10038661,0,3,3,4.991630412154327,9,20200306
