订单号,动作,起始经度,起始纬度,取单号,商家经度,商家纬度,商家距离,理论取单时间,取单可取时间,取单承诺送达时间,送单号,客户经度,客户纬度,客户距离,理论送单时间,送单可取时间,送单承诺送达时间,骑手ID,波次,当前已取单数,骑手等级,骑手速度,最大负荷量,日期
2100076292688544827,DELIVERY,121.630705,39.142443,2100076291476456588,121.650878,39.149328999999994,80.0,1583296313,1583296624,1583298423,2100076291554542992,121.651824,39.148361,122.0,1583296321,1583295796,1583297835,10007871,0,2,0,5.494800295720042,9,20200304
2100076289837664154,PICKUP,121.525847,39.292066,2100076289189054362,121.52588300000001,39.293043,1.0,1583295425,1583295500,1583297059,2100076289837664154,121.52461399999999,39.296381,486.0,1583295504,1583295915,1583296634,10012508,2,1,3,6.110275450568457,10,20200304
2100076284306097301,PICKUP,121.445877,39.218990999999995,0,0.0,0.0,0.0,0,0,0,2100076284711831123,121.45304399999999,39.215871,1443.0,1583294283,1583293293,1583295166,10021791,2,8,3,5.191148265200816,10,20200304
2100076275726288490,DELIVERY,121.420701,39.2512,2100076278731638510,121.42490600000001,39.252809,651.0,1583292592,1583292447,1583293642,0,0.0,0.0,0.0,0,0,0,10038661,0,0,3,5.663612428934496,9,20200304
2100076264821916828,PICKUP,121.425201,39.252415,2100076264478278807,121.422518,39.255627000000004,652.0,1583282673,1583283230,1583283600,2100076264821916828,121.406644,39.259731,2583.0,1583283005,1583282781,1583284280,10039046,0,1,3,5.82159387499609,10,20200304
2100076292758570374,PICKUP,121.42466599999999,39.246848,2100076290839086470,121.41359299999999,39.242075,1.0,1583296310,1583295622,1583297777,2100076292758570374,121.41176399999999,39.241781,508.0,1583296397,1583296549,1583297624,10039046,2,2,3,5.82159387499609,10,20200304
2100076295179110268,PICKUP,121.594481,39.215406,0,0.0,0.0,0.0,0,0,0,2100076291925411760,121.58631399999999,39.211071000000004,708.0,1583297280,1583295707,1583297926,10043299,0,6,2,5.997091245359844,7,20200304
2100076302832174876,PICKUP,121.582726,39.215876,2100076302822868097,121.593599,39.214292,144.0,1583301066,1583301199,1583302399,2100076286716610521,121.595234,39.214180999999996,351.0,1583301100,1583294860,1583302500,10043299,2,2,2,5.997091245359844,7,20200304
2100076277054474229,DELIVERY,121.44883,39.115431,2100076281429395323,121.465994,39.128885,686.0,1583293132,1583293107,1583295266,0,0.0,0.0,0.0,0,0,0,10043801,0,0,3,5.425180015603881,8,20200304
2100076312797644242,DELIVERY,121.44919099999998,39.115497,2100076313735300840,121.462846,39.139322,891.0,1583310079,1583310742,1583312301,0,0.0,0.0,0.0,0,0,0,10043801,2,0,3,5.425180015603881,8,20200304
2100076344197285748,PICKUP,121.46033899999999,39.131832,2100076345106794141,121.454071,39.131391,1.0,1583328025,1583328339,1583329117,2100076344197285748,121.459474,39.145781,2179.0,1583328426,1583327920,1583329838,10043801,6,1,3,5.425180015603881,8,20200304
2100076279211787704,PICKUP,121.48778100000001,39.068540000000006,2100076280597316877,121.479704,39.072480999999996,198.0,1583292711,1583293137,1583295534,2100076279188063358,121.481654,39.089781,2765.0,1583293153,1583292247,1583294347,10063068,0,2,3,5.807500982605737,8,20200304
2100076282381632920,PICKUP,121.480617,39.068492,2100076284407153814,121.480457,39.072796999999994,540.0,1583293579,1583293885,1583295382,2100076282381632920,121.49833400000001,39.076451,2477.0,1583293906,1583292947,1583294687,10063192,0,2,3,5.921119342894652,8,20200304
