订单号,动作,起始经度,起始纬度,取单号,商家经度,商家纬度,商家距离,理论取单时间,取单可取时间,取单承诺送达时间,送单号,客户经度,客户纬度,客户距离,理论送单时间,送单可取时间,送单承诺送达时间,骑手ID,波次,当前已取单数,骑手等级,骑手速度,最大负荷量,日期
2100076114754405722,PICKUP,121.631225,39.142331,0,0.0,0.0,0.0,0,0,0,2100076113216276281,121.62751399999999,39.138751,937.0,1583120672,1583120274,1583121413,10007871,0,4,2,5.8240357732582355,9,20200302
2100076115490866699,DELIVERY,121.52111200000002,39.167545000000004,2100076119741990736,121.53016399999998,39.159380999999996,1629.0,1583121570,1583121572,1583123306,0,0.0,0.0,0.0,0,0,0,10037225,2,0,2,4.709532323515932,10,20200302
2100076115362711543,DELIVERY,121.35683200000001,39.289584999999995,2100076115733972535,121.347008,39.305532,2013.0,1583121738,1583120328,1583122568,2100076115454068727,121.350824,39.301601,1378.0,1583121622,1583120475,1583122394,10038649,0,1,3,5.456275363483937,10,20200302
2100076153004591093,PICKUP,121.340471,39.295182000000004,2100076154666158071,121.362149,39.291649,1083.0,1583141904,1583142293,1583143192,2100076153004591093,121.360624,39.295131,1305.0,1583141945,1583141679,1583142699,10038649,2,1,3,5.456275363483937,10,20200302
2100076098179008224,DELIVERY,121.425201,39.252415,2100076100632807136,121.42515900000001,39.252415,1146.0,1583109717,1583109127,1583111201,0,0.0,0.0,0.0,0,0,0,10039046,0,0,3,5.3049474790982964,10,20200302
2100076112105833901,PICKUP,121.59453799999999,39.215564,2100076113058989852,121.59364599999999,39.213931,57.0,1583120083,1583119316,1583122008,2100076112105833901,121.57953400000001,39.219840999999995,1957.0,1583120429,1583119258,1583121478,10043299,0,1,2,5.487465727834972,8,20200302
2100076111170242383,DELIVERY,121.449325,39.115309,2100076113983407679,121.46446599999999,39.125717,518.0,1583119925,1583120082,1583121460,2100076109946554240,121.46419399999999,39.121941,148.0,1583119857,1583119289,1583121268,10043801,0,1,3,5.424983369216951,8,20200302
2100076170243344062,DELIVERY,121.44068500000002,39.117304,2100076170850698814,121.43765400000001,39.124855,807.0,1583153752,1583153639,1583155619,0,0.0,0.0,0.0,0,0,0,10043801,6,0,3,5.424983369216951,8,20200302
2100076121515886327,DELIVERY,121.49483799999999,39.068115,2100076125790504129,121.47154599999999,39.064053,436.0,1583122956,1583123742,1583125001,2100076120731354520,121.473254,39.063711,276.0,1583122927,1583122351,1583123730,10063068,0,1,3,5.552435616233857,8,20200302
2100076114605311463,PICKUP,121.554151,39.139112,2100076113986094640,121.55233700000001,39.139127,490.0,1583120352,1583120633,1583121473,2100076114605311463,121.57703400000001,39.141461,2519.0,1583120721,1583119989,1583122148,10075573,0,2,2,5.4904668542391954,9,20200302
