订单号,动作,起始经度,起始纬度,取单号,商家经度,商家纬度,商家距离,理论取单时间,取单可取时间,取单承诺送达时间,送单号,客户经度,客户纬度,客户距离,理论送单时间,送单可取时间,送单承诺送达时间,骑手ID,波次,当前已取单数,骑手等级,骑手速度,最大负荷量,日期
2100076381473212089,PICKUP,121.62656899999999,39.1411,2100076377947145347,121.63084199999999,39.142712,92.0,1583381479,1583380911,1583382770,2100076381473212089,121.615944,39.131371,2616.0,1583381906,1583381992,1583384332,10007871,1,1,2,5.9133030290007165,9,20200305
2100076349786654683,DELIVERY,121.537376,39.20084,2100076366518649950,121.531803,39.205959,325.0,1583377757,1583378401,1583379415,0,0.0,0.0,0.0,0,0,0,10012191,1,0,3,5.706141029745737,9,20200305
2100076401194272249,PICKUP,121.525699,39.201178000000006,2100076401477879289,121.52983799999998,39.203988,2.0,1583393188,1583393552,1583396072,2100076402430051833,121.522034,39.191351,2176.0,1583393569,1583393550,1583396070,10012191,5,3,3,5.706141029745737,9,20200305
2100076420841636958,PICKUP,121.528575,39.201219,2100076421306058088,121.53340800000001,39.206136,155.0,1583403989,1583404117,1583405100,2100076420841636958,121.53180400000001,39.207561,972.0,1583404132,1583404000,1583404897,10012191,7,1,3,5.706141029745737,9,20200305
2100076381787489364,PICKUP,121.526848,39.280598,2100076379679327867,121.522544,39.292503,1.0,1583383243,1583382027,1583384356,2100076381787489364,121.524864,39.294821,677.0,1583383347,1583382758,1583383956,10012508,1,1,3,6.4477211805508485,10,20200305
2100076383321064597,PICKUP,121.447565,39.220603000000004,2100076382377444501,121.44660400000001,39.210091,1.0,1583382650,1583382057,1583383616,2100076380926117687,121.452524,39.217661,1439.0,1583382920,1583381808,1583382886,10021791,3,5,3,5.327664916625074,10,20200305
2100076424871544197,PICKUP,121.44651499999999,39.206036,2100076426745251205,121.446917,39.210012,1.0,1583405976,1583405606,1583406804,2100076426394568131,121.46361399999999,39.224810999999995,3224.0,1583406581,1583405876,1583407015,10021791,7,2,3,5.327664916625074,10,20200305
2100076369800725760,DELIVERY,121.53169299999999,39.172701,2100076366926153315,121.54205300000001,39.151073,1158.0,1583380472,1583378794,1583380800,0,0.0,0.0,0.0,0,0,0,10037225,3,0,2,5.261426830451051,10,20200305
2100076378373293661,DELIVERY,121.43381000000001,39.26397,2100076375714760448,121.42469399999999,39.245578,2796.0,1583382827,1583381654,1583384294,2100076380099708827,121.452064,39.248981,590.0,1583382436,1583380903,1583383963,10038661,1,1,3,5.640293742812567,9,20200305
2100076380548367857,DELIVERY,121.59941599999999,39.207705,0,0.0,0.0,0.0,0,0,0,2100076383028970924,121.59991399999998,39.218901,1.0,1583383636,1583382007,1583384407,10043299,1,5,2,5.2097523109123305,7,20200305
2100076379905164984,PICKUP,121.47201899999999,39.076485,2100076377698239638,121.480457,39.072796999999994,124.0,1583381646,1583381673,1583383109,2100076374667298266,121.48508400000001,39.071861,858.0,1583381776,1583381666,1583382625,10063192,1,3,3,5.680931387851768,8,20200305
2100076416859309182,PICKUP,121.483829,39.0672,2100076415881249918,121.483819,39.06463,1.0,1583402696,1583401763,1583403563,2100076416859309182,121.497454,39.059821,2178.0,1583403079,1583401793,1583403413,10063192,3,2,3,5.680931387851768,8,20200305
2100076385448429340,PICKUP,121.554071,39.139055,2100076386495693860,121.553004,39.13947,153.0,1583384178,1583383985,1583385725,2100076386294892091,121.561664,39.137211,996.0,1583384331,1583384185,1583385562,10075573,1,2,2,5.523830669524019,9,20200305
2100076365696927726,PICKUP,121.530381,39.149828,2100076359116883693,121.54413400000001,39.150490999999995,115.0,1583379045,1583375073,1583380800,2100076365696927726,121.544904,39.139590999999996,1687.0,1583379357,1583378222,1583380377,10081729,3,1,2,5.03899586507084,9,20200305
2100076414841751239,PICKUP,121.54854399999999,39.151720000000005,2100076414594647789,121.54413400000001,39.150490999999995,1160.0,1583401385,1583401736,1583403953,2100076414841751239,121.533134,39.167981,3644.0,1583401878,1583401530,1583403204,10081729,5,1,2,5.03899586507084,9,20200305
2100076374009873953,DELIVERY,121.38426799999999,39.261306,0,0.0,0.0,0.0,0,0,0,2100076376792663545,121.398224,39.262240999999996,287.0,1583381883,1583381581,1583383261,10100267,1,7,3,5.917735055218475,9,20200305
2100076372358629159,PICKUP,121.22156299999999,39.128142,2100076375116874878,121.22319499999999,39.128854,69.0,1583379754,1583380562,1583382602,2100076370490754605,121.238424,39.118840999999996,2690.0,1583380336,1583379967,1583381646,10102738,1,2,3,4.50465652745107,9,20200305
2100076394718954956,PICKUP,121.23613300000001,39.122777,2100076394678290215,121.22275400000001,39.128761,33.0,1583387747,1583387903,1583389642,2100076392640153383,121.214964,39.107031,3750.0,1583388572,1583387583,1583389023,10102738,3,2,3,4.50465652745107,9,20200305
2100076356466181558,PICKUP,121.68783700000002,39.140843,0,0.0,0.0,0.0,0,0,0,2100076356466148790,121.665674,39.136551000000004,2640.0,1583371800,1583371435,1583373600,10126649,1,4,2,5.3831834141291415,3,20200305
2100076361491449270,PICKUP,121.687661,39.1408,2100076363095836086,121.687477,39.14079,1.0,1583377991,1583376649,1583380800,2100076361491449270,121.680374,39.140981,790.0,1583378137,1583377622,1583380800,10126649,3,2,2,5.3831834141291415,3,20200305
2100076389243127222,PICKUP,121.691474,39.145375,2100076391936132534,121.687477,39.14079,1.0,1583385858,1583385789,1583388900,2100076388729783734,121.66058400000001,39.130871,3602.0,1583386527,1583384369,1583388000,10126649,5,2,2,5.3831834141291415,3,20200305
2100076371921077637,DELIVERY,121.593093,39.116943,2100076376705075127,121.579416,39.125704,238.0,1583380386,1583381181,1583382438,0,0.0,0.0,0.0,0,0,0,10127695,1,0,3,5.030233920841404,7,20200305
2100076378861045200,PICKUP,121.52991399999999,39.158173,2100076377640568471,121.54526399999999,39.158301,913.0,1583381860,1583381384,1583383733,2100076378861045200,121.545184,39.153811,404.0,1583381760,1583381910,1583382868,10135747,1,3,2,5.0862162472258206,11,20200305
2100076397590578526,DELIVERY,121.51316100000001,39.220495,2100076399560787758,121.485021,39.231553000000005,718.0,1583392122,1583392204,1583393883,0,0.0,0.0,0.0,0,0,0,10155815,1,0,3,5.816585903991599,12,20200305
2100076422597805969,PICKUP,121.508076,39.216471000000006,2100076423847052774,121.509047,39.219001,697.0,1583404936,1583405078,1583406809,2100076425242346746,121.51751399999999,39.219541,1264.0,1583405034,1583404777,1583405976,10155815,5,2,3,5.816585903991599,12,20200305
2100076376942446066,PICKUP,121.590075,39.118336,2100076374564177394,121.57520500000001,39.106846000000004,1.0,1583381302,1583381144,1583383302,2100076374391883250,121.575124,39.109660999999996,388.0,1583381368,1583381065,1583381784,10183941,1,2,3,5.809853157348252,9,20200305
2100076416465994967,PICKUP,121.55378600000002,39.139701,2100076414342891056,121.55233700000001,39.139127,164.0,1583402022,1583401666,1583403285,2100076416465994967,121.54883400000001,39.146111,1206.0,1583402212,1583401635,1583403134,10188077,1,2,3,5.458730223951154,9,20200305
2100076353785103650,PICKUP,121.466493,39.159294,2100076357223253591,121.46578400000001,39.159261,711.0,1583375154,1583373665,1583375400,2100076353785103650,121.46652399999999,39.153591,981.0,1583375209,1583371766,1583375400,10194017,1,2,3,4.906036108859591,9,20200305
2100076408672061426,PICKUP,121.478381,39.152682,2100076408975493106,121.459198,39.155734,1.0,1583398576,1583397673,1583398800,2100076407995500530,121.475774,39.161931,1886.0,1583398960,1583397672,1583397000,10194017,3,2,3,4.906036108859591,9,20200305
2100076397441779580,PICKUP,121.595176,39.215839,2100076395378673532,121.591264,39.214690999999995,1.0,1583389602,1583389275,1583390474,2100076397441779580,121.585274,39.212661,826.0,1583389745,1583389581,1583390659,10194307,1,2,2,5.7626180826605,7,20200305
2100076421673289284,PICKUP,121.59373799999999,39.22235,2100076423544145476,121.593599,39.214292,1.0,1583404940,1583404961,1583406461,2100076421673289284,121.587094,39.210991,857.0,1583405088,1583404180,1583406000,10194307,5,2,2,5.7626180826605,7,20200305
2100076367748761038,PICKUP,121.474216,39.106897,2100076361716500411,121.47425,39.106742,1881.0,1583379281,1583376356,1583380675,2100076367748761038,121.460204,39.109161,2179.0,1583379337,1583378737,1583380232,10232969,1,3,3,5.304439612569189,7,20200305
2100076401471227654,PICKUP,121.466591,39.095281,2100076402313627405,121.47793600000001,39.089674,1083.0,1583393615,1583392436,1583395213,2100076401471227654,121.46081399999998,39.113960999999996,4494.0,1583394258,1583392091,1583401451,10232969,3,1,3,5.304439612569189,7,20200305
2100076385908360404,PICKUP,121.405924,39.145027,2100076387955247010,121.41655700000001,39.1301,4.0,1583384307,1583384185,1583385503,2100076385908360404,121.39973400000001,39.145540999999994,3153.0,1583384891,1583384446,1583386125,10248665,1,1,3,5.396808438144264,9,20200305
2100076413772432932,PICKUP,121.415621,39.129567,2100076412952184783,121.407955,39.128642,336.0,1583400078,1583400102,1583401420,2100076413772432932,121.394034,39.141011,2460.0,1583400471,1583400191,1583401750,10248665,3,1,3,5.396808438144264,9,20200305
2100076359346488708,PICKUP,121.579443,39.109534000000004,2100076360918762884,121.59,39.103563,1.0,1583376581,1583376362,1583377438,2100076359346488708,121.588974,39.092081,1470.0,1583376931,1583376483,1583377560,10249075,1,2,3,4.188559492921072,10,20200305
2100076376001676638,DELIVERY,121.507453,39.217729,0,0.0,0.0,0.0,0,0,0,2100076381498345191,121.50333400000001,39.219401,100.0,1583382291,1583382250,1583383387,10258665,1,6,2,4.2107416846357895,10,20200305
2100076371876840509,DELIVERY,121.53397,39.195116999999996,2100076372402374511,121.500584,39.18143,601.0,1583380217,1583380287,1583381844,0,0.0,0.0,0.0,0,0,0,10272326,3,0,3,4.7798437626153465,8,20200305
2100076399070906226,PICKUP,121.630283,39.145852000000005,2100076397315557194,121.64721399999999,39.135549,155.0,1583390529,1583390774,1583392573,2100076398429144906,121.648474,39.139841,742.0,1583390636,1583390399,1583391658,10278503,3,2,3,5.467624858148153,9,20200305
2100076394614523381,PICKUP,121.45369699999999,39.131865000000005,2100076393651832477,121.454071,39.131391,528.0,1583388116,1583388658,1583389976,2100076394614523381,121.46131399999999,39.132751,569.0,1583388124,1583387996,1583390516,10289729,1,3,2,5.4694535770670525,7,20200305
2100076382856905844,PICKUP,121.399105,39.17499,2100076383654970484,121.408414,39.190931,1.0,1583383096,1583382832,1583385111,2100076382856905844,121.419524,39.195040999999996,1598.0,1583383485,1583383229,1583385267,10290949,1,1,0,4.100250336556184,11,20200305
2100076383814419906,DELIVERY,121.752455,39.142726,2100076389857527552,121.755472,39.1451,213.0,1583384002,1583384359,1583386639,0,0.0,0.0,0.0,0,0,0,10293468,1,0,3,6.025010426640568,6,20200305
2100076367372813356,DELIVERY,121.425409,39.196551,0,0.0,0.0,0.0,0,0,0,2100076368219768089,121.416904,39.203351,606.0,1583379549,1583378495,1583379695,10294613,1,4,3,4.353049586957935,11,20200305
2100076364504926135,DELIVERY,121.532127,39.250682,2100076374163555702,121.529898,39.249162,686.0,1583379112,1583379820,1583380775,2100076364642354780,121.52433400000001,39.246651,353.0,1583379052,1583378094,1583379900,10298963,1,1,3,5.544319409245354,9,20200305
2100076421231118206,DELIVERY,121.53169799999999,39.250752,2100076422582699929,121.53215700000001,39.251236999999996,567.0,1583404424,1583404916,1583405933,0,0.0,0.0,0.0,0,0,0,10298963,5,0,3,5.544319409245354,9,20200305
2100076423015433973,PICKUP,121.434747,39.187771999999995,2100076418280162860,121.43851799999999,39.187498,172.0,1583403794,1583403228,1583405506,2100076423015433973,121.458504,39.192781,2945.0,1583404247,1583404561,1583406181,10303432,1,1,2,6.111120661347562,9,20200305
2100076371509413520,DELIVERY,121.50500600000001,39.189575,2100076374396142626,121.49566100000001,39.185446,1338.0,1583380080,1583380534,1583381492,2100076369476552559,121.491184,39.169671,945.0,1583380010,1583379069,1583380567,10304094,1,1,2,5.632812711604768,5,20200305
2100076421705926072,DELIVERY,121.555628,39.088375,2100076425740814062,121.536331,39.083776,751.0,1583405334,1583405464,1583407078,0,0.0,0.0,0.0,0,0,0,10305435,1,0,1,5.659945825111794,7,20200305
2100076385319913163,DELIVERY,121.53450600000001,39.083535,2100076387136833089,121.545451,39.08376,995.0,1583383734,1583384354,1583391734,2100076384205997771,121.546204,39.084990999999995,1313.0,1583383789,1583383330,1583384827,10306647,1,1,2,5.778685895947347,7,20200305
2100076369848141192,PICKUP,121.48506,39.166376,2100076371059738045,121.484949,39.163759000000006,204.0,1583379398,1583379418,1583381090,2100076369848141192,121.490284,39.180661,2784.0,1583379879,1583379909,1583381586,10312874,1,2,2,5.354016557545516,11,20200305
