courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
10037225,2,2100076119741990736,121.521112,39.167545,PICKUP,1583121750
10039046,0,2100076100632807136,121.425201,39.252415,PICKUP,1583109897
10043801,6,2100076170850698814,121.440685,39.117304,PICKUP,1583153932
10097074,0,2100076138912712567,121.303492,39.136717,PICKUP,1583131463
10097074,2,2100076144877570009,121.304509,39.12889,PICKUP,1583136933
10100267,4,2100076166062245558,121.415455,39.270631,PICKUP,1583148516
10102738,0,2100076109274252773,121.223566,39.129365,PICKUP,1583119453
10112683,4,2100076157799532488,121.44407,38.989419,PICKUP,1583144430
10181667,6,2100076153853314193,121.422891,39.151427,PICKUP,1583142978
10199051,0,2100076109157271136,121.466825,39.095106,PICKUP,1583120386
10239433,0,2100076119281272806,121.445618,38.97117,PICKUP,1583121645
10239433,2,2100076149975189182,121.438574,38.968841,PICKUP,1583140920
10250573,0,2100076108381979933,121.526551,39.33522,PICKUP,1583117574
10271563,0,2100076118288926107,121.49694,39.059731,PICKUP,1583120457
10278503,4,2100076172872320485,121.649143,39.141212,PICKUP,1583157070
10281321,0,2100076099260057072,121.972645,39.601758,PICKUP,1583106483
10306647,0,2100076121829508515,121.53278,39.08325,PICKUP,1583122239
10313234,2,2100076113252582410,121.515525,39.187052,PICKUP,1583120267
10319201,0,2100076110842037390,121.753959,39.110528,PICKUP,1583118920
10335674,0,2100076119763453726,121.543144,39.079121,PICKUP,1583122396
10392454,0,2100076099341518269,121.484368,39.164544,PICKUP,1583109694
10392454,2,2100076111566178102,121.481465,39.152859,PICKUP,1583119062
10413087,4,2100076159441471188,121.76536,39.123292,PICKUP,1583145006
10416907,0,2100076119407297892,121.458081,39.29044,PICKUP,1583121686
10459881,2,2100076112727541487,121.753936,39.111398,PICKUP,1583119601
10477197,0,2100076099442771480,121.528043,39.063466,PICKUP,1583111495
10487413,2,2100076129224132082,121.527793,39.277057,PICKUP,1583126128
10488513,2,2100076131064776639,121.454041,39.105952,PICKUP,1583125659
