courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
10038649,0,2100076453987911671,121.357032,39.289857,PICKUP,1583463388
10043801,2,2100076473636849064,121.448228,39.112963,PICKUP,1583468336
10081729,6,2100076531108152759,121.557566,39.160959,PICKUP,1583496209
10094682,0,2100076467053003964,121.547337,39.140222,PICKUP,1583466244
10120267,6,2100076523716380557,121.422037,39.195922,PICKUP,1583492519
10194017,0,2100076461104039222,121.465941,39.158993,PICKUP,1583465188
10208063,2,2100076503864116433,121.482464,39.02602,PICKUP,1583485701
10232969,4,2100076517241979994,121.465581,39.12307,PICKUP,1583490962
10272326,0,2100076444452324854,121.506984,39.186936,PICKUP,1583454260
10275436,0,2100076446416602969,121.428117,39.153876,PICKUP,1583455157
10321101,0,2100076448738903495,121.709216,39.250811,PICKUP,1583460096
10330725,2,2100076463388461049,121.471214,39.298264,PICKUP,1583465819
10404691,0,2100076442482378178,121.44332,39.185026,PICKUP,1583457466
10413087,0,2100076462406206936,121.76544,39.123319,PICKUP,1583465389
10413087,4,2100076508118680966,121.753151,39.122371,PICKUP,1583486654
10469547,0,2100076455646233809,121.58088,39.097731,PICKUP,1583464978
10488513,8,2100076506761398157,121.455411,39.105973,PICKUP,1583487627
10515576,4,2100076525011960919,121.615013,39.149655,PICKUP,1583493635
10518924,0,2100076494031226607,121.467634,39.077226,PICKUP,1583479280
10544976,2,2100076518217516735,121.433335,39.190497,PICKUP,1583491234
10548486,6,2100076517133322107,121.53084,39.136041,PICKUP,1583490489
10572143,2,2100076510189651856,121.528574,39.277121,PICKUP,1583487454
10593238,2,2100076469752432317,121.366653,39.135347,PICKUP,1583469052
10596763,0,2100076471069148584,121.660522,39.168463,PICKUP,1583467791
10618353,2,2100076457746531548,121.40341,39.05288,PICKUP,1583463584
10638398,4,2100076492149720710,121.614711,39.156411,PICKUP,1583477083
10642060,8,2100076531677201704,121.5571,39.151784,PICKUP,1583501019
10659267,2,2100076515127395849,121.59154,39.214719,PICKUP,1583489421
10663375,0,2100076461668959720,121.405574,39.367852,PICKUP,1583465282
10667763,0,2100076459508728970,121.466564,39.095056,PICKUP,1583464833
10703923,0,2100076470117565752,121.548474,39.197796,PICKUP,1583467297
10719665,4,2100076491724817490,121.350878,39.427617,PICKUP,1583477801
10731534,4,2100076514544747779,121.34687,39.430633,PICKUP,1583489308
10748334,0,2100076459812390764,121.721892,39.349636,PICKUP,1583465588
10748345,4,2100076503260464266,121.466817,39.094977,PICKUP,1583484026
10803667,2,2100076485226956262,121.487925,39.111533,PICKUP,1583472347
100134611,2,2100076511224236023,121.377203,39.299072,PICKUP,1583487768
