courier_id,wave_index,tracking_id,weather_grade,pick_lng,pick_lat,deliver_lng,deliver_lat,create_time,confirm_time,assigned_time,promise_deliver_time,estimate_pick_time,aoi_id,shop_id
100002543,0,2100074536706869066,正常天气,121.647214,39.135549,121.655694,39.123121,1580484067,1580484067,1580519088,1580521500,1580485567,4424963369d15e8900db6cfe732700c3,02615f185581167cc68ba41af3d25ce6
100002543,0,2100074542836254538,正常天气,121.647214,39.135549,121.647324,39.126481,1580517517,1580517517,1580518968,1580521500,1580519017,a986694f4dd7e70ea73e2261889cde81,02615f185581167cc68ba41af3d25ce6
100002543,1,2100074546090674142,正常天气,121.629701,39.139352,121.658144,39.135721,1580523657,1580523658,1580523709,1580526417,1580524558,4df9946bb92f495035be19576fd2d828,374469acda40b1b0b5d34ab4a58cb194
100002543,1,2100074546118723550,正常天气,121.629701,39.139352,121.660584,39.130871,1580523868,1580523869,1580523889,1580526568,1580524589,1e774d8c07c353386658144a16dfd8c1,374469acda40b1b0b5d34ab4a58cb194
100002543,2,2100074572925863604,正常天气,121.642437,39.135199,121.656294,39.122061,1580549262,1580549263,1580549269,1580551902,1580550163,e4bc0664f82df5c8491cbb9f5bd4abb0,9265cec8aa44dceae0072716a3a7e58a
100002543,2,2100074571487053444,正常天气,121.644819,39.136675,121.651244,39.125261,1580549551,1580549552,1580549569,1580552011,1580550272,07a9f773fcfb2d5366822b903700b291,d69c2340d3e9112b75a3e0d0ba5fc21a
100002652,0,2100074545867785801,正常天气,121.559167,39.143862,121.540884,39.152671,1580523235,1580523236,1580523248,1580525875,1580524436,705acdfcbe3d54c3eb0b1e91218e8c50,9c1c3712a6b3df108815635ceab5556a
100002652,0,2100074546073371904,正常天气,121.564017,39.14282,121.551724,39.148541,1580523356,1580523358,1580523369,1580525696,1580524258,0bbab78d893fd9de32faac2d7a564591,22c2c3f5843b8b2b0a9f16ce4185079b
100002652,1,2100074548127335429,正常天气,121.572143,39.145727,121.566614,39.143101,1580526242,1580526245,1580526249,1580528222,1580527325,dbb422937d7ff56e049d61da730b3e11,fc8a44681cda5dd8575f46eab39d3725
100002652,1,2100074547916997637,正常天气,121.572143,39.145727,121.566714,39.143301,1580526647,1580526649,1580526669,1580528927,1580527549,dbb422937d7ff56e049d61da730b3e11,fc8a44681cda5dd8575f46eab39d3725
100002652,1,2100074551610738043,正常天气,121.568798,39.144677,121.579954,39.149211,1580527817,1580527818,1580527869,1580530157,1580528898,c48832bfaadb1499b75e8a5b48f795d1,b1e6923037be4798f97f2493bdeaad6b
100023698,0,2100074548748944821,正常天气,121.376732,39.135899,121.384464,39.138281,1580526234,1580526235,1580526285,1580528574,1580527135,812214fb8e7066bfa6e32c626c2c688b,478c81b3545dbcb16aa5bfaba7a04ae1
100023698,0,2100074549615199669,正常天气,121.376732,39.135899,121.395434,39.141091,1580526289,1580526290,1580526346,1580528869,1580527190,d09b9bb192e03903963e35b40e3f0399,478c81b3545dbcb16aa5bfaba7a04ae1
100023698,1,2100074571939185737,正常天气,121.374729,39.135643,121.376224,39.129531,1580548610,1580548612,1580548665,1580550890,1580549452,32a4f2eaa67b8e04fc005c8da167e53e,df524bf0652ade63387ef136b19758d4
100023698,1,2100074571661936381,正常天气,121.373836,39.135808,121.376704,39.128931,1580549134,1580549134,1580549145,1580553214,1580551834,32a4f2eaa67b8e04fc005c8da167e53e,cac71f95ad4c2a99b909790a0853c65a
100023698,2,2100074578265998361,正常天气,121.374011,39.135793,121.366404,39.123731,1580555672,1580555672,1580555684,1580557832,1580556392,3b41228e4b0c50af48a0abe20a3df3ef,af62ecc30266ad244ea54e3af929539b
100023698,2,2100074577411311013,正常天气,121.373504,39.135871,121.361174,39.139511,1580555686,1580555689,1580555744,1580557486,1580556229,1844cb70ea8ceb6f2fd0311499244aa8,f6f667fc164958c4f22e25e2ed011339
100038207,0,2100074553774409086,正常天气,121.426621,39.198751,121.435844,39.197241,1580530951,1580530952,1580530973,1580534791,1580531612,fc82cb7059c0bda03b6fc9f88f9a0921,89ac4b55a9905bba942b02d7499366dd
100038207,0,2100074552475944318,正常天气,121.426621,39.198751,121.437454,39.196471,1580531054,1580531055,1580531093,1580533334,1580531955,fc82cb7059c0bda03b6fc9f88f9a0921,89ac4b55a9905bba942b02d7499366dd
100038207,1,2100074569557902718,正常天气,121.426621,39.198751,121.419054,39.207201,1580548107,1580548108,1580548133,1580550507,1580549008,416002d445a04ec6afb691115707c38a,89ac4b55a9905bba942b02d7499366dd
100038207,1,2100074572331156566,正常天气,121.427445,39.197775,121.411824,39.214871,1580549164,1580549167,1580549453,1580551924,1580550247,c63857bf625fb19d99dd8c6ecc4cec3d,694eee0b80e2f45a4e90e3f82ddfb47e
100069773,0,2100074542185776618,正常天气,121.552289,39.172781,121.529364,39.192291,1580516347,1580516348,1580516393,1580519827,1580517428,3ab7b41810390894809c7eaad0e1fbc7,9cb6852ecd5faa7bdccb3ec307ef7c40
100069773,0,2100074541897122886,正常天气,121.546017,39.176396,121.541584,39.187011,1580516912,1580516913,1580516933,1580519012,1580517633,436194f369a725feb9882e2f1bcf3fd3,11d7f95ad50144a6d8d94587841384f3
100069773,1,2100074542360102378,正常天气,121.552289,39.172781,121.552114,39.174851,1580520052,1580520052,1580521374,1580523300,1580521552,f46a399b7d4ae4925a2706d70d470b26,9cb6852ecd5faa7bdccb3ec307ef7c40
100069773,1,2100074544499262531,正常天气,121.553116,39.17438,121.543854,39.170061,1580520661,1580520661,1580520714,1580522941,1580521561,117b2febf1e50ac06981eeffee7c03d5,36dcfa9580af19192ad04f758614b2de
100069773,3,2100074551350527601,正常天气,121.55254,39.179307,121.545534,39.179401,1580528562,1580528589,1580528634,1580530422,1580529189,250b164d84ea39a488422da8500786e6,1d288fc42d625910bf29a48018cd50a7
