courier_id,wave_index,tracking_id,courier_wave_start_lng,courier_wave_start_lat,action_type,expect_time
100002543,0,2100074542836254538,121.635755,39.141497,PICKUP,1580519756
100002543,0,2100074536706869066,121.635755,39.141497,PICKUP,1580519758
100002543,0,2100074542836254538,121.635755,39.141497,DELIVERY,1580520355
100002543,0,2100074536706869066,121.635755,39.141497,DELIVERY,1580520770
100002543,1,2100074546090674142,121.63104,39.137702,PICKUP,1580524466
100002543,1,2100074546118723550,121.63104,39.137702,PICKUP,1580524468
100002543,1,2100074546090674142,121.63104,39.137702,DELIVERY,1580525047
100002543,1,2100074546118723550,121.63104,39.137702,DELIVERY,1580525705
100002543,2,2100074571487053444,121.642295,39.135482,PICKUP,1580549892
100002543,2,2100074572925863604,121.642295,39.135482,PICKUP,1580550426
100002543,2,2100074572925863604,121.642295,39.135482,DELIVERY,1580550955
100002543,2,2100074571487053444,121.642295,39.135482,DELIVERY,1580551408
100002652,0,2100074546073371904,121.566098,39.144913,PICKUP,1580523823
100002652,0,2100074545867785801,121.566098,39.144913,PICKUP,1580524091
100002652,0,2100074546073371904,121.566098,39.144913,DELIVERY,1580524409
100002652,0,2100074545867785801,121.566098,39.144913,DELIVERY,1580525064
100002652,1,2100074547916997637,121.570003,39.14902,PICKUP,1580527354
100002652,1,2100074548127335429,121.570003,39.14902,PICKUP,1580527359
100002652,1,2100074548127335429,121.570003,39.14902,DELIVERY,1580527901
100002652,1,2100074547916997637,121.570003,39.14902,DELIVERY,1580528568
100002652,1,2100074551610738043,121.570003,39.14902,PICKUP,1580528990
100002652,1,2100074551610738043,121.570003,39.14902,DELIVERY,1580529339
100023698,0,2100074548748944821,121.377771,39.143544,PICKUP,1580526733
100023698,0,2100074549615199669,121.377771,39.143544,PICKUP,1580526735
100023698,0,2100074548748944821,121.377771,39.143544,DELIVERY,1580527358
100023698,0,2100074549615199669,121.377771,39.143544,DELIVERY,1580528103
100023698,1,2100074571939185737,121.373644,39.135606,PICKUP,1580549660
100023698,1,2100074571661936381,121.373644,39.135606,PICKUP,1580549662
100023698,1,2100074571661936381,121.373644,39.135606,DELIVERY,1580549951
100023698,1,2100074571939185737,121.373644,39.135606,DELIVERY,1580550065
100023698,2,2100074578265998361,121.37369,39.135849,PICKUP,1580556027
100023698,2,2100074577411311013,121.37369,39.135849,PICKUP,1580556029
100023698,2,2100074577411311013,121.37369,39.135849,DELIVERY,1580556463
100023698,2,2100074578265998361,121.37369,39.135849,DELIVERY,1580557721
100038207,0,2100074552475944318,121.426578,39.197923,PICKUP,1580531791
100038207,0,2100074553774409086,121.426578,39.197923,PICKUP,1580531793
100038207,0,2100074552475944318,121.426578,39.197923,DELIVERY,1580532318
100038207,0,2100074553774409086,121.426578,39.197923,DELIVERY,1580532599
100038207,1,2100074569557902718,121.426734,39.198666,PICKUP,1580549033
100038207,1,2100074569557902718,121.426734,39.198666,DELIVERY,1580549462
100038207,1,2100074572331156566,121.426734,39.198666,PICKUP,1580550382
100038207,1,2100074572331156566,121.426734,39.198666,DELIVERY,1580551047
100069773,0,2100074542185776618,121.552345,39.172548,PICKUP,1580517337
100069773,0,2100074541897122886,121.552345,39.172548,PICKUP,1580517558
100069773,0,2100074541897122886,121.552345,39.172548,DELIVERY,1580518030
100069773,0,2100074542185776618,121.552345,39.172548,DELIVERY,1580518425
100069773,1,2100074544499262531,121.55207,39.177214,PICKUP,1580521501
100069773,1,2100074542360102378,121.55207,39.177214,PICKUP,1580521631
100069773,1,2100074542360102378,121.55207,39.177214,DELIVERY,1580522190
100069773,1,2100074544499262531,121.55207,39.177214,DELIVERY,1580522554
100069773,3,2100074551350527601,121.55727,39.17607,PICKUP,1580529077
100069773,3,2100074551350527601,121.55727,39.17607,DELIVERY,1580529740
100069773,3,2100074552876500038,121.55727,39.17607,PICKUP,1580530041
100069773,3,2100074549915878583,121.55727,39.17607,PICKUP,1580530429
100069773,3,2100074552876500038,121.55727,39.17607,DELIVERY,1580530673
100069773,3,2100074554603865535,121.55727,39.17607,PICKUP,1580531183
100069773,3,2100074549915878583,121.55727,39.17607,DELIVERY,1580531543
100069773,3,2100074554603865535,121.55727,39.17607,DELIVERY,1580532079
