courier_id,level,speed,max_load
102697066,3,4.463724148627194,11
117056801,2,4.773089125208891,9
124001625,3,4.690580515052426,11
10298963,3,4.401766610839622,11
10632815,3,4.671927277731559,8
10525316,0,4.4307712643492865,3
112516818,3,4.561279677168827,9
117068537,3,4.422455219784682,10
118558089,2,4.682862293338564,9
123307425,3,5.872920516280263,9
10804247,3,4.69833896651393,10
124928417,3,4.728498354696952,10
10183941,3,4.750347726278242,10
120625801,2,4.75126875345099,9
101914266,3,4.472567348253858,10
103384498,2,4.523416023835813,10
107736970,3,4.709043451788333,10
110042570,2,4.520890419772129,8
112905898,3,4.564611698537103,9
118785289,0,5.440580133240647,10
10185816,3,4.677570675468207,11
102159722,3,4.344924375621399,9
10593238,3,4.3503045622357694,8
117026369,3,4.370845750874808,9
122726849,3,4.555828191752626,9
102748698,3,4.617563778579163,11
10712014,2,4.5517807596603115,10
118818985,3,4.681330917963852,9
122939081,3,4.432335457326623,11
10417888,2,4.348591807735854,8
10466684,3,4.376820282632438,9
117025201,2,4.756595996292856,10
123025297,3,4.777946606373965,10
125155433,3,4.643230241864985,9
112040778,2,4.7506849402456925,3
121572297,2,4.4683700243236935,7
118778673,2,5.396603490978859,3
118888121,3,5.311294384961109,11
10098837,0,4.528556310663922,15
10323658,3,4.402752818687016,10
116971497,3,4.5874964747973435,8
10208063,3,4.790768171596152,11
10272985,3,4.597612537616919,10
10499607,1,4.582865757952696,10
10762615,3,4.753854378217089,9
117124913,2,4.445759830030263,7
10405101,3,4.4381725474550295,10
106568746,2,4.785119152609906,6
111731282,3,4.527474873927695,9
118394873,2,4.699524513857108,9
111356426,3,4.582615768208879,7
121781761,3,4.570341651440694,10
120551017,3,4.518967375018964,12
102333794,2,4.649330726489261,8
111743154,2,4.260555351296697,9
118662905,3,4.759711372226328,10
10334732,2,4.59717563753682,10
118475913,3,4.572214491962955,9
10413087,2,4.617980587684922,9
10219599,3,4.447456520675071,10
100023698,2,4.711552608071836,9
104583538,3,4.605735723924672,9
108061506,3,4.674892972797977,8
105233010,2,4.643007837291054,9
10622520,3,4.587861305031767,10
124612641,1,4.530050877213282,7
116288617,3,4.459469931842144,8
100069773,3,4.463297005670519,11
118559025,3,4.584851554938195,10
120948521,3,4.355060067647118,10
10803665,3,4.370102066122322,11
115862809,1,4.747837428162606,6
119543617,0,4.760282692014978,4
10199051,0,4.39651503434532,11
10213217,3,5.065839726024225,10
10361752,3,4.467099706940601,9
118916329,3,4.66381051145951,9
102505146,3,4.398256493602118,13
10289729,2,4.504998106145433,9
111025498,3,4.514297262408112,11
118266025,3,4.760830398154178,10
10294745,3,4.588123226634418,10
117013553,3,4.7711841948735785,10
118970753,2,4.628417203853469,6
119233153,3,4.746874447928913,9
10161032,3,4.372968658380183,9
114595465,1,4.420506144437393,9
116872833,3,4.773946495391293,9
118831497,3,4.587539840144347,8
117779017,3,5.671584301007947,8
118533225,3,4.63034565396719,11
107699026,3,4.664396275554917,12
10416907,3,4.684082745879428,8
10642486,3,4.616726762747416,6
10697343,2,4.623051855216535,11
111205226,3,4.628704069363283,12
120270738,3,4.447560834942971,8
123314609,3,4.625874222771432,10
118066377,3,4.597740315799847,10
120549513,3,4.431406095878358,9
120817089,3,4.462151013201619,11
10726147,3,4.36114890984848,10
111193122,3,4.774878979163305,11
10528147,2,4.62219961030544,10
109539178,3,4.587731260715418,10
115063897,3,4.685802614911668,10
118797393,2,4.508217162294841,8
10513697,3,4.625544546481179,10
10656566,2,4.652445723280951,10
10711180,2,4.424090801205112,9
10788423,3,4.70387430505836,11
117025081,3,4.495967023856191,10
118667561,3,4.504582136605219,11
10206063,3,4.589389688011863,12
115598089,3,4.630871092778498,11
117054417,3,5.228923059265247,11
118006553,3,4.4052631678995215,8
118803601,3,4.62614340432052,9
10799255,2,4.369104595504204,8
112525786,1,4.673599700732264,5
113147922,3,4.458918854580428,10
117428305,2,4.454298753426007,5
10303438,3,4.371736716603807,8
118781361,3,4.470940629136658,11
118329481,3,4.6998843005584,11
118427817,3,4.67765166159266,11
10618353,3,4.53150587686352,11
100429202,3,6.026423295923524,10
10537433,3,4.579004530869599,10
118798641,3,4.352178188095252,7
122077169,2,4.599647973625771,8
115164545,2,4.523179988773763,10
119340785,2,4.376186566208719,9
100532962,3,4.409762216823022,8
10290949,0,4.699998179150254,9
107080018,3,4.709898830119911,9
10793094,3,4.441387774528857,11
112906890,1,4.718888573999492,6
115777233,2,4.409007253087381,9
118800777,2,4.78864936261869,12
118920073,2,4.431918339171722,8
10249075,3,4.67484569211084,10
10319201,3,4.433661196438142,9
10531988,3,4.707318373862606,9
10721724,3,4.3491498386141485,9
113782457,3,4.418871703419789,11
117034905,2,4.497640586235055,6
118798041,2,4.676611202243961,7
10102738,3,4.436711882476784,9
10766650,2,4.590987610606495,9
10344320,2,4.520293248195735,6
10364589,3,4.664727743043698,8
106973146,2,4.720398455430164,8
122079457,3,4.729731823976815,7
10081729,2,4.672600228938407,10
10401287,3,4.768472820717898,7
10633991,0,4.376624845008051,13
106503746,0,4.538906990892319,2
110963378,3,4.533594309911463,11
10038653,3,4.71243663084913,12
102837378,2,4.6151029780704205,8
10711258,3,4.661541952861895,10
111196866,2,4.670647813863067,9
118851385,2,5.789594411845993,9
103216506,2,4.768418879371354,10
10572923,3,4.651535383926345,9
112025322,2,4.365997281665604,7
10282591,3,4.424169966701568,10
118702473,2,4.352081367565855,7
10312874,3,4.456021556132702,12
10788532,3,4.6643494755355235,11
116706233,3,4.473089882350686,12
119346545,3,4.44888822663402,8
100038207,1,4.7926031135140805,6
107045802,2,4.474549986555677,7
10742814,2,4.502423736707531,8
113152290,1,4.104971489773119,9
115755785,3,4.4021503361379395,11
116737865,2,4.343645797125819,7
118066617,3,4.46421091688229,8
118862313,2,4.624818037390598,6
123679329,3,4.600921533865942,10
106359962,3,4.457211494356592,11
112022106,3,4.758225764272971,10
10164305,1,4.415069053100251,8
102246634,2,4.395912971394308,7
10548486,3,4.639681868871333,10
10676303,3,4.674872413647379,10
10747277,2,4.481597192229663,8
116117241,3,4.451758263883566,10
118713201,2,4.668969319953012,9
118789345,2,4.512604700649301,8
123563353,3,4.5914654845368785,10
10281321,3,4.382675975454932,10
117488401,3,4.694631846447431,10
10043801,3,4.684693633606093,9
103502002,3,4.42123437814925,9
10676669,0,4.467106916282742,5
118841633,3,4.7611062515998785,9
122081305,3,4.755069698684838,10
125864962,2,4.572075958445209,8
10553059,2,4.605204263875731,9
111618922,2,4.476046881073362,9
10324609,2,5.744300621302741,8
110941154,3,4.67951983839484,9
117020457,3,4.392945344387238,9
117062825,3,4.638155939347194,13
104989810,2,5.6441752243998895,6
10756966,1,4.708525019790254,7
118726337,2,4.45262100474647,4
118805049,3,4.509654540711802,10
10671986,3,4.6250732189532835,9
117013905,3,4.587067103682762,10
10457899,3,4.767717871191276,9
10097074,2,4.633485015443203,7
101009538,3,4.455565493929216,12
10458730,3,4.766352079404017,12
10063068,3,4.544258965230714,9
103216602,3,4.71569288153318,10
118802153,2,4.35709732503266,10
119535041,3,4.351866505096075,9
122244937,2,4.766435205875219,10
10469547,1,4.789766114771308,4
113666817,2,4.420256645655751,11
118690377,3,4.610543376221607,9
120434978,3,4.396246316584424,12
116226473,2,4.660014550713936,9
118792841,3,4.643242836609928,10
118810873,3,4.665039249848345,4
122942881,3,4.653431843054574,8
10117471,3,4.793122052471083,10
103648954,3,4.564645944189495,9
115619153,3,4.637989970489911,9
124981409,2,4.6724774669734055,5
10717922,3,4.528514268952446,6
10518924,2,4.604972412629463,7
112044866,3,4.366635934528908,8
117109065,3,4.3812059461364825,8
100122337,2,4.4548465121615815,7
104829330,1,4.598705372821468,7
111995434,3,4.57714337123444,11
10797771,3,4.464281507042227,10
118248009,2,4.383523381967718,10
120130201,3,4.418978729825927,10
101393874,3,4.361113330434712,9
103404602,0,4.46767772221842,12
10703085,3,4.36918852481654,7
121658489,2,5.597706578592848,10
122060865,3,4.4955050357816235,9
100002652,3,4.398109658095487,10
110577578,0,4.773598177208992,3
117164105,2,4.582121640289273,7
10731534,0,4.664957942155914,11
119149921,1,4.609635085162772,9
10404691,1,4.431256141143668,8
10667763,2,4.546645831547352,9
123675369,3,4.381564249776392,10
125996858,3,4.4425540203803795,11
101269810,3,4.69949496045117,9
10617582,3,4.69167964221252,9
10773341,3,4.32110314185482,8
118308465,3,4.7844564839484125,7
10755989,1,4.542445386285043,7
102952578,3,4.677615754703054,9
10638398,3,4.427788537076011,9
113977305,3,4.7353331172154185,11
118811881,3,4.359536922851763,11
124682649,2,4.65960580457542,12
10188077,3,4.6469444736930585,10
